Image,Total_Boxes,OCR_Japanese,OCR_Translated,GT_Translated,Similarity,TP,FP,FN
tr_img_06261,52,千歳鳥山 | 当駅構内施設の階層図 | 案内所 | 女子トイレ | きつふつりば | トイレ | コインロッカ | だれでも | う | 待合室 | 男子トイレ | 自動体式除細動器 | A目D | 現在地から地上までの | バリアフリー主要ルート | 北ロコンコース噌 | 酒 | 新宿方面 | 公町 | 改階へ | ホ一ム贈 | ス階 | 高尾山口橋本方面 | 改料階へ | 北国 | 西国コンヨース階 | ここは新宿方面ホ一ムです。,"a | thousand-year-old | tornado | mountain | the | hierarchy | of | this | station's | internal | facility. | a | guide. | the | women's | bathroom. | when | it's | all | over, | toilet | coin | locca | anyone. | mm-hmm. | waiting | room. | the | men's | room. | auto | body | defibrillator. | a-eye | d | and | that's | what | i'm | going | to | talk | about | today. | the | main | barrier | free | route. | the | north | slocom | course. | drink. | it's | heading | to | the | wrong | place. | public | town | i'm | going | to | the | renovating | floor. | a | gift. | a | gift. | stairway. | headway | to | takashitaashimoto. | i'm | going | to | the | resale | floor. | north. | conjois, | west | of | the | country. | this | is | joichim, | heading | for | nagoya.",mount | raven | the | hierarchy | of | this | station's | internal | facility. | a | guide. | - | it's | all | right | waiting | room. | auto | body | external | defibrillator. | current | location | homeroom. | south | entrance. | i'm | going | to | go | to | the | bathroom | and | i'm | going | to | go | to | the | bathroom. | ms. | yusuke | nanna. | uo-soo-sense-sense-sense-sense-sense-sense-sense-sense-sense-sense-sense. | prince | kyung-ho. | it's | where | we're | going. | homeroom. | this | is | the | host | home | for | nagoya. | hey | you're | welcome. | it's | where | we're | going. | i'm | at | the | u.s. | stairway | # | # | # | i | can't | do | it. | i | can't | do | it. | i | can't | do | it. | the | men's | room. | the | women's | bathroom. | everybody's | gotta | do | it. | and | that's | what | i'm | going | to | talk | about | today. | it's | the | main | barrierfly. | # | # | # | i'll | keep | up. | yes | # | # | # | i | don't | think | so. | [ | time | tables | and | tracks] | takaguchi. | hashimoto | to | the | resale | floor. | he's | at | the | north | entrance. | home | level. | to | the | resale | floor.,0.1273,55,39,90
tr_img_06262,1,中央区,central | central,miyagi | street. | central | central,0.6415,2,0,2
tr_img_06263,1,生生9,she's | a | nine-year-old.,every | wednesday. | philippines,0.3793,0,3,3
tr_img_06264,9,営業時間 | は | 朝: | まで | や | 安全拾得器,business | time | huh. | morning: | to | hey. | safe | pick-up.,yodvas | camera. | business | time | morning | from | night | to | a | fail-safe | passer.,0.5882,3,5,8
tr_img_06265,1,東日本橋二丁目,east | japan | bridge | 2nd.,east | japan | bridge | 2nd.,1.0000,4,0,0
tr_img_06266,2,南14条西8丁目,south | 14th | and | west | and | eightth.,south | 14th | and | west | and | eightth.,1.0000,6,0,0
tr_img_06267,0,,,japan | bridge,0.0000,0,0,2
tr_img_06268,2,Ｏロオミ,oloomi,clear | katahomi,0.3636,0,1,2
tr_img_06269,4,日本橋 | 人形町 | 一丁目,japan | bridge | doll | town | one.,seung | jo | it's | doll | town. | one.,0.7027,2,3,4
tr_img_06270,19,案内所 | 団体バス・路線バス | タクシー | レンタカー | 般車 | 乗隆場,a | guide. | group | bus | route. | taxi. | rent-car. | cars. | the | ups | and | downs,a | guide. | i've | got | a | bus. | linebus | taxi. | rent-car. | it's | a | normal | car. | portraits,0.6211,4,8,10
tr_img_06271,4,中風区 | 木月 | 3丁目,nakans | tree | moon | three.,middle-earth. | tree | moon | three.,0.7385,3,1,1
tr_img_06272,4,マハ音楽教室,macha | music | class,yamaha | music | class,0.9302,2,1,1
tr_img_06273,2,ホホ北野4-6-13 | 三村厚生,hofokusfield | 4-613. | mimura | shizuru.,4-6-13 | northern | trigonom. | shizuru | mimura.,0.4000,0,4,5
tr_img_06274,2,小高公久 | 護ホ野４丁８ー4,"little | takanji | four, | eight, | four, | four.",seung | jo. | i'll | be | right | back.,0.3409,0,6,6
tr_img_06275,9,こは | 中の島 | 雨水ツス位置表示板 | 設置個所 | 27・7 | 北電興業(株扱い,hey. | the | island | inside. | torts | positioning | board | i'm | setting | you | up. | 27-7. | it's | called | the | north | electric | company.,where | are | we? | the | island | inside. | the | rain | mass | display | board. | i'm | setting | you | up. | he's | been | treated.,0.6406,8,10,10
tr_img_06276,2,規約加会 | 泰,it's | a | concordat. | i'm | sure.,justice | view | a | fair-competitive | membership | store. | the | company. | u.s.a. | capital | reality | trade | council.,0.2893,1,4,12
tr_img_06277,12,末吉橋 | 川崎駅 | 横浜 | 五反田 | 綱島 | 丸子橋,kukashi. | kisaki | station. | yokohama | five-a-ta. | takshima | kunako | bridge,kawasaki | station. | good | news | post | five-and-a-half. | kunako | bridge | takshima | street | yokohama | takshima,0.5200,5,3,7
tr_img_06278,12,ロック板 | 下がつていますか？ | 信観確認! | 公譬告 | 公動かしま | なけます | イロック板が | そぁる条急連終先 | います | 足はきみ | 注意,"rockboard | is | he | dropping? | credential | confirmation! | public | proclamation | it's | moving | in | public. | yes, | sir. | ilockboard. | the | end | of | the | line. | yes, | sir. | your | leg. | attention",rotchboard | is | he | dropping? | i | see | visual! | warning | i've | got | a | pair | of | legs. | attention | make | sure | rotch | is | down. | i | was | on | the | plane. | so | we're | going | to | move | the | car. | i | don't | think | so. | cause | of | the | accident. | that's | going | to | happen. | i'm | going | to | charge | you | a | parking | fee. | there's | a | board | on | it. | if | it | doesn't | go | down | don't | move | your | car. | it's | on | the | inside | sign. | emergency | contact | please | contact | me.,0.0344,9,16,67
tr_img_06279,4,機械器具設置業 | 登録電気事業者 | 小丸動力建設株 | 札幌営業所,a | machine | plant. | registration | electricist | small-browned | construction | stock. | i'm | at | the | florist's | office.,(breathing | location) | it's | a | florist's | office. | a | machine | plant. | registration | electricist,0.4170,7,6,4
tr_img_06280,2,角平,angles,angles | normal,0.5714,1,0,1
tr_img_06281,3,緑郎 | 山口,mr. | greenro. | yamaguchi,yamaguchi | mr. | greenro.,0.5385,3,0,0
tr_img_06282,2,西新宿五丁目,i'll | be | right | there. | i'll | be | right | there.,i'll | be | there | in | a | few | minutes.,0.6735,2,6,5
tr_img_06283,3,ありがとうございます,thank | you.,thank | you. | the | car's | leaving.,0.4898,2,0,3
tr_img_06284,3,ヨットハーバー,a | yacht | harbour.,jots | haba,0.4516,0,3,2
tr_img_06285,9,目本橋人形町一丁目,it's | one | of | the | most | beautiful | places | in | the | world.,middle-earth. | it's | a | japanese | bridge | town | doll. | japan | bridge | it's | doll | town. | one.,0.3908,1,9,12
tr_img_06286,4,侍合室 | 候年室,the | mammium. | he's | in | the | musket | year | room.,waiting | room. | s.h.i.e.l.d.,0.2558,1,7,2
tr_img_06287,2,巻由 | 三八,through | a | scroll. | three | eight,chrysanthemum | soy | sauce. | thirty-five. | drinker | drops. | it's | called | the | sakura. | sweet | wine. | tasting | it's | just | a | matter | of | time. | 1 | in | and | out. | # | # | #,0.2078,1,4,25
tr_img_06288,4,都宮三田線 | いちばん先のくだり階段,"the | himiya | sanda | line. | the | first | one, | the | first | one, | the | stairs.",at | the | end | of | the | stairs. | tokyo | sanda | line.,0.3448,5,7,4
tr_img_06289,4,レディースランプ | ス・プ・デグトきン,ladies' | lamps | s-p-deg-t-w-w-w-w-w-w-w-w-w-w-w-w-w-w-w-what.,residence | lunch. | it's | chicken | and | root | salad. | (soup | dessert) | i | don't | know | what | you're | talking | about.,0.2176,0,3,16
tr_img_06290,11,株式 | 会社 | 板売 | 修理 | 車検 | 中部運輸局指! | の | 株式会社,stocks. | company | i'll | sell | the | board. | fixed | car | test. | central | transit | station! | . | it's | a | stock | company.,asset | holmes. | company | stocks. | sales... | fixed | central | transit | station | it's | a | stock | company.,0.7449,9,8,4
tr_img_06291,3,堂業寺聞,i'm | hearing | from | the | towers | temple.,i'll | be | right | back.,0.4000,0,6,4
tr_img_06292,1,KパビA,kpabia,and | potatoes. | from | all | over | the | country. | - | i'm | going | to | have | to | take | care | of | it. | arigo | and | cheese.,0.0563,0,1,20
tr_img_06293,19,区役所第一分子舎 | 四季の路 | 新宿区役所 | 歌乗倭田公園 | 歌乗伎田丁一丁門,city | hall | 1 | molecule | it's | four | seasons | away. | innocence | hall. | sakura | park. | i'm | going | to | sing | a | song | to | you.,innovation | park. | it's | four | seasons | away. | innocence | hall. | city | hall | 1st | precinct | i'm | going | to | make | sure | you | don't | get | hurt. | kabuki | town | park | it's | the | first | time | in | kabuki | city.,0.1108,12,8,19
tr_img_06294,8,方セ設で使え | お得なチhット | 名様 | 名日 | 良定です,you | can | use | it | on | your | own. | that's | a | great | idea. | master. | name | date | that's | good.,you're | gonna | have | to | use | it | at | 15. | i | don't | know | what | you're | talking | about. | let's | do | another | one. | it's | limited.,0.4710,2,14,19
tr_img_06295,5,,,empty | drink.,0.0000,0,0,2
tr_img_06296,0,,,here | you | go. | it's | this | way. | iron-leaf | liquor | store.,0.0000,0,0,9
tr_img_06297,11,二リポンの窓をよくしたし | ソョツプ | 渉江サッ | シ株式会社 | サッシ部 | 不動産部,i | didn't | even | have | to | do | it. | i | didn't | have | to | do | it. | seung | jo! | i'll | be | right | back. | it's | a | stock | company. | sassi | real | estate.,sassi | real | estate. | i | want | to | improve | my | window. | cypriots | shizue | sassi | company.,0.1600,6,20,7
tr_img_06298,4,仏す使用電子マネーを | 寒択してから | 力一ド7携帯電話を | かさして下さい,so | let's | say | that | i | have | the | same | amount | of | electronic | money. | it's | been | a | while | since | i've | had | a | cold. | give | me | your | best | cell | phone. | give | me | a | lift.,i'm | sure | you'll | be | able | to | use | electronics. | i've | got | a | choice. | give | me | your | cell | phone. | take | a | look | at | me,0.6028,9,22,13
tr_img_06299,10,約 | 詳度と栄養柔を子る | 気圧 | 真空チルド | 酵素の働きを抑制する | プラチナ | スリープ保者 | 触媒,about | i'll | give | you | a | little | rest. | i'll | give | you | a | little | rest. | pressure | vacuum | tierdo | it | suppresses | the | enzyme's | function. | platinum | sleepkeeper. | catalyst,catalyst | it's | not | about | being | bright. | it's | about | keeping | your | nose | clean. | vacuum | tierdo | it's | just | a | matter | of | time. | nervousness | the | vacuum-circuit | room. | platinum | it | suppresses | the | enzyme's | function. | sleep | save,0.3185,11,13,21
tr_img_06300,1,農応仲通り商店住,i | live | in | a | store | in | the | middle | of | the | street.,take | 'em | out. | it's | a | shop | block. | kyung | soo,0.3871,1,10,8
tr_img_06301,24,流 | 抜き | クリーミブグ | よる10時まで営業 | 急がなくても! | 田日80 | 印日仕上,routine | take | it | off. | cremig | business | until | 10:00 | p.m. | you | don't | have | to | hurry! | taday | 80. | by | certifications,cleaning | business | until | 10:00 | p.m. | set | up | security | cameras. | prevention | every | week. | saturday | # | # | # | # | # | # | you | don't | have | to | hurry! | i'll | get | you | a | quick | day's | work. | routine | take | it | off. | pay,0.3586,13,5,23
tr_img_06302,2,中の島1条2丁目,i'm | on | the | island. | i'm | on | the | island.,one | and | two | islands | inside.,0.5581,0,8,5
tr_img_06303,20,キッチンにつれしいり | もチ | ブマトマレッ | のいつもシンクを清潔に | 小さなゴミもしつかりキヤツチ! | 穴あきメッシユの不織布 | 抗副成分 | 西台 | キッチンにうれしい | お取り替え時期 | (開封後1ヶ月が目安) | ワストマン | 上人中ノ下有頃 | 生樹三用消臭一 | 式供品 | およそ | 30日月,"it's | like, | i | don't | know, | i'm | stuck | in | the | kitchen. | cypriot | bomatmare. | i | always | keep | the | sink | clean. | it's | a | little | garbage-crazy | thing! | the | fabric | of | a | hole-in-the-wall | messilil. | anti-substances | the | west | tower. | i'm | glad | to | see | you | in | the | kitchen. | time | to | replace | it's | been | a | month | since | we | opened | it. | wastman. | when | i | was | a | high | school | student, | it's | a | three-wood | smell. | presentation | about. | 30th",i'm | glad | to | see | you | in | the | kitchen. | mr. | kichit. | dustman. | mark. | keep | the | sink | clean | all | the | time. | i'll | catch | your | little | garbage! | the | fabric | of | a | hole-in-the-wall | mesh. | antibacterials | combining | time | to | replace | it's | been | a | month | since | we | opened | it. | top | middle | bottom | it's | about | time. | moon | i'm | glad | to | see | you | in | the | kitchen. | mr. | kichit. | dustman. | a | dusting | sheet | for | garbage. | it's | a | sample. | about. | for | the | day | the | smell | of | garbage. | absorbing | and | exhalation.,0.2007,38,29,42
tr_img_06304,0,,,that's | right. | item | name,0.0000,0,0,4
tr_img_06305,0,,,takahashi | man. | it's | a | long | beach.,0.0000,0,0,6
tr_img_06306,17,浜岡原発は最大のリスク | 早期廃炉へ! | 今の日本の平和と希栄を支えているの | な割し的レ暖えていこうとているの | 安を政植です柚誌な冬去改正は | 好ません | 安保法利は容法て | 静岡をまもる | 都海ト770巨六地及は速い未未の占で | 明な母雑計配は亡て | あ代のの現 | あtなkまtる | 社会の歪みが少子化の爪因です子れ | の学督祭使化 | あなたのパふをマべいタえていまます,it's | the | biggest | risk | we've | ever | had. | get | to | the | end | of | the | reactor! | i'm | supporting | japan's | peace | and | beauty | now. | i'm | just | trying | to | keep | it | warm. | and | that's | what | we're | going | to | do. | i | don't | like | it. | the | safety | benefits | are | legal. | shizuoka. | it's | a | very | short-term | occupation. | the | bright | mother-in-law | is | down. | it's | the | beginning | of | my | life. | i | don't | know | what | you're | talking | about. | and | that's | what | we're | going | to | talk | about. | i'm | an | apprentice. | i'm | not | sure | if | i'm | going | to | be | able | to | do | that.,oh. | get | to | the | end | of | the | reactor! | # | # | # | shizuoka. | i'm | sorry. | the | security | laws | are | against | us. | the | big | earthquake | in | the | south | seas. | it's | a | long | way | from | the | future. | i'm | sorry. | it's | a | big | earthquake. | the | reality | of | saving | the | lives | of | the | people | what | are | we | going | to | do | about | the | disaster? | i'm | gonna | beat | you. | distortions | in | society | are | caused | by | deformation. | - | bringing | up | the | child. | it's | been | a | long | time | since | i've | been | able | to | get | help. | there's | no | expenses | i'll | change | your | concerns | to | feel | safe. | it's | not | like | that. | it's | not | like | that. | it's | like | that. | maximum | risk!,0.0124,31,60,78
tr_img_06307,22,練馬駅 | 都営大江戸線 | 都庁前 | 六本木 | 飯田橋方面 | 光が丘 | 方面,chariot | station. | the | city | edo | line | in | front | of | the | city | six | trees. | which | way | is | ikeda | bridge? | the | light's | on | the | hill. | i'm | on | my | way.,chariot | station. | the | city | edo | line | i'll | take | care | of | it. | i'll | take | care | of | it. | recurrence | which | way | is | ikeda | bridge? | the | light's | on | the | hill. | it's | where | we're | going.,0.5854,17,10,14
tr_img_06308,30,公共施設 | 文郎施設 | 商業施設 | 宿泊施設 | 教育施設 | 町田 | 消防署 | 郵便局 | 銀行 | ズポーツ | レジャー | 己 | 寺院 | 神社 | 教会,public | facilities. | ryoji's | facility. | a | commercial | facility. | a | shelter. | education | facility. | mr. | murata. | firehouse. | post | office. | banks. | zpotz. | ledger. | self. | temple | the | shrine. | church,public | facilities. | cultural | facilities. | a | commercial | facility. | a | place | to | stay. | education | facility. | police | station. | firehouse. | medical | facilities. | post | office. | banks. | spoots. | lezjah | temple | the | shrine. | church,0.1031,16,8,11
tr_img_06309,6,中央区,central | central,central | central | i'm | 11th | avenue,0.6071,2,0,3
tr_img_06310,1,5村上公民館,five | village | public | house.,five | village | public | house.,1.0000,4,0,0
tr_img_06311,2,軍の出入口につき | 紅重しないで下さい,i'm | at | the | military | entrance. | please | don't | make | it | red.,we've | got | to | get | to | the | car's | entrance. | please | don't | park.,0.6755,4,6,7
tr_img_06312,21,静岡県庁 | 御幸町 | 御幸町 | 人天学引ヨ | 静図具庁 | 駿府城公園 | 新静岡駅 | 府城公園 | 新静站 | 金平丞号司・人入天.引ą,shizuoka | prefecture | good-bye. | good-bye. | man's | astronomics. | the | sistemics | agency. | tsukoku | park. | shinaoka | station. | cygnus | park. | shinji. | kingo-dono-dono-dono.,shizuoka | prefecture | shikoku-san. | tsukoku | park. | shinaoka | station. | # | # | # | i'll | take | care | of | you. | shinji.,0.5535,7,10,9
tr_img_06313,5,県庁 | 所静岡駅 | 市役所,district | bureau. | shizuoka | station. | city | hall.,shinaoka | station. | # | # | # | district | bureau. | city | hall. | # | # | # | tsukoku | park.,0.4342,5,1,9
tr_img_06314,18,静岡音楽館AO! | 静岡中央郵便局 | 地下駐車場 | エキパ | Q斗AO! | 静音AOI | 子斗 | 浄図中央邸局 | 「エキパ」地下停年場,"shizuoka | music | hall | ao! | shizuoka | central | post | office. | underground | parking | lot. | exp. | qaquaao! | silence | aoi | pictures | the | purgatory | central | residence. | the | ""exp"" | season.","no | smoking | ""expa | ""exp"" | underground. | shizuoka | central | post | office. | i | don't | know | what | you're | talking | about. | shizuoka | music | hall | aoi | i | don't | know | what | you're | talking | about. | i | don't | know | what | you're | talking | about. | i | don't | know | what | you're | talking | about.",0.0559,9,14,32
tr_img_06315,0,,,hatake. | tadashi,0.0000,0,0,2
tr_img_06316,23,デュオ | 冬の | 期聞限定 | シちそう | 李節の | シーフード味セレクション | まぐろとかに味 | かにとほたて味 | 白身魚とえび味 | かニとクリーミーチーズ味 | 総合栄養食 | 小分け | (標準)×12袋 | 粒のイラストは,"duo. | winter. | frequency | limited | oh, | my | god. | i'm | going | to | do | it | again. | i'm | going | to | do | it | again. | i'm | going | to | do | it | again. | i'm | going | to | do | it | again. | seafood | taste | separation | tastes | like | a | cucumber | or | something. | tastes | good. | the | white | fish | and | the | flavor. | it's | a | little | bit | of | cream | and | creamy | cheese. | total | diet | small | let's | do | another | one. | and | i'm | going | to | show | you | how | to | do | that.",winter. | tuo. | a | feast. | time | limit | the | season. | seafood | taste | tastes | like | a | cucumber | or | something. | a | total | nutrition | diet. | small | default | twelve | bags. | it's | just | a | bunch | of | seeds. | it's | just | a | bunch | of | seeds. | tastes | good. | it's | a | white | fish | and | it's | bitter. | it's | so | good. | it's | so | good. | it's | so | good. | tuba,0.0301,20,54,35
tr_img_06317,2,南9条西3丁目,south | 9 | west | 3rd.,south | 9 | west | 3rd.,1.0000,4,0,0
tr_img_06318,3,今 | の | 暮,now. | . | live.,and | the | smile | of | the | future. | even | what | you're | living | now.,0.2796,1,2,10
tr_img_06319,7,久世祠琶店 | 久世盂商店 | の0,it's | been | a | long | time | since | i've | known | you. | it's | been | a | long | time. | 0's,"it's | been | a | long | time. | # | # | # | thanks | to | you. | sanczeel. | it's | been | a | long | time. | # | # | # | it's | been | a | long | time. | zierrort | workshop | snacks. | it's | been | a | long | time. | it's | a | liquor | corner. | i | don't | know. | # | # | # | # | # | # | it's | been | a | long | time. | cold | we're | ready | for | you. | # | # | # | # | # | # | # | # | # | drink. | # | # | # | # | # | # | # | # | # | i | don't | know | what | you're | talking | about. | # | # | # | # | # | # | let's | go. | # | # | # | # | # | # | # | # | # | the | skill | and | passion | of | the | craftsman. | i'm | going | to | build | it. | the | real | flavor. | celeste | japanese | walnuts | # | # | # | # | # | # | # | # | # | # | # | # | the | best | out-of-the-box. | maruion | molek's | east | end. | iketak | shop. | ma. | io. | kanto | # | # | # | i'm | so | sorry. | # | # | # | # | # | # | # | # | # | # | # | # | nmall | sunrise. | marne. | age | # | # | # | luxurelio | turtles. | # | # | # | oh | to | the | east | of | the | nikobuki | river. | mm-hmm. | # | # | # | taco. | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | tadashi | koko. | longion | mohjitata. | it's | been | a | long | time. | mm-hmm. | utre. | joy. | s. | it's | a | shop. | miyi-out | koda | it's | a | kitchen | shop. | it's | the | new | year's | eve. | grand. | ions | oh | # | # | # | i'll | see | you | soon. | it's | a | shop. | i'm | sorry | it's | a | big | store. | # | # | # | -create. | -create. | # | # | # | - | ion. | linoasi | the | garden. | chuong | ma. | # | # | # | # | # | # | cookplay | it's | a | department | store. | nmor | okinawa | catelya. | orc | shop. | longpong | ko. | the | pine | shop. | nine. | rashsha. | ta. | umashima | store. | lugo | children | island | squeeze. | it's | a | shop. | nciion | mall | fkquet | akutre. | i'm | sorry. | i'm | sorry. | # | # | # | china | town | hiroshima | [santa] | maru. | nmor | tozoda. | ut | knittri | - | denph. | shujah | the | main | store. | # | # | # | [applause] | # | # | # | lan. | beer. | # | # | # | it's | a | shop. | fukuizawa. | io. | tojikashi. | fukukutly. | autosynth | fricke. | it's | called | nmor's | boulevard. | n-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a. | enough | for | the | no | country. | # | # | # | it's | a | shop. | # | # | # | halla. | ionmo. | ion | mall | nagoya. | bills. | # | # | # | # | # | # | it's | called | ""kook's | gertens. | "" | the | ion | moornagoya | dome. | malsh... | irishmore | than | one | place | in | the | world.",0.0290,10,5,426
tr_img_06320,45,こちらは南10西7 | 緊急連絡先0120 | です | 連料金のお支払し | 駐車料金を | 主車位置番号を | 押してください | 駐車料金 | 釣幾切れK | 番号を確認後 | カKaahir Cadunacestah! | 精算ボクンを | 奈収密究行中止 | 公類響理金投入の前 | 押してください | ののの | 購 | は下の発行口から発行されます | 盗難対策濱 | 公設 | 駐軍位 | おつり領収書 | タイムズの | ポイントカード | シイムンの系 | 岡 | 一取司 | タイムズで | 8釣5銀口領取雪 | タイムズで | カーシェア,"this | is | 10th | west. | emergency | contact | 0120. | that's | it. | i'll | pay | you | for | your | fee. | i'm | gonna | need | a | parking | charge. | give | me | your | main | vehicle's | location | number. | push, | please. | parking | charge. | i'll | take | a | little | bit | of | fishing. | after | checking | the | number. | kakahar | kadunestah! | i'll | give | you | my | money. | stop | the | dig-and-regular. | before | i | put | in | a | public-sonic | money. | push, | please. | no, | no, | no, | no, | no, | no, | no, | no, | no, | no, | no, | no, | no, | no. | subscribe | it's | going | to | be | issued | at | the | bottom | of | the | issue. | it's | a | crime | to | steal. | public | constainment. | a | receipt | for | the | change. | the | times. | point | card | siemen's | system. | oka | i'm | the | manager. | in | the | times. | eight | fishing, | five | silver-silver | snow. | in | the | times. | carshar",this | is | south | 10th | west | 7th | 1555. | emergency | contact | 0120-77-8924. | close | the | point! | frequent! | time | point | card | check | parking | number. | # | # | # | discard | # | # | # | # | # | # | parking | charge | display | magnification | parking | charge. | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | and | i'm | going | to | give | you | an | example | of | that. | push | the | receipt. | please. | timestykeftya | cash. | and | only | when | it's | divisible. | accounts | # | # | # | # | # | # | and | that's | what | we're | going | to | do. | explosives. | please. | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | i'm | out | of | change. | aborting | use | of | 1 | abort | card | usage | canceling | the | receipts | i'm | gonna | need | a | parking | charge. | put | it | in. | parking | charge. | and | i'm | going | to | give | you | an | example | of | that. | let | me | in. | give | me | your | parking | location | number. | push | after | checking | the | number. | magnification | buttons | push | magnification | one | at | a | time. | let | me | in. | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | times | chicksheet | kreitt. | # | # | # | # | # | # | magnification | discard | accounts | parking | prove | the | receipt | will | be | issued | at | the | bottom | of | the | issue. | we've | got | it. | we've | got | it. | you | can't | just | return | the | bill. | and | be | careful. | please | read | the | inside | sign. | the | miscalculation | of | the | parking | location | number | doesn't | go | on | in | return. | and | i'm | going | to | show | you | what | i'm | going | to | do. | in | three | minutes. | please | put | it | away. | # | # | # | # | # | # | break. | siwat | close | the | point! | i | got | it! | the | times. | point | card | # | # | # | # | # | # | circle | # | # | # | # | # | # | # | # | # | time | point | a | present! | # | # | # | # | # | # | # | # | # | zant! | # | # | # | enrollment | application. | close | the | point! | i | got | it! | point | card | for | the | times. | # | # | # | circle | # | # | # | in | the | times. | carshar | you're | free | to | go. | in | the | times. | carshar | the | change. | repositories | recipient | the | change. | repositories | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | #,0.0492,65,57,323
tr_img_06321,1,1一8,18,japan | bridge | it's | doll | town. | two.,0.0000,0,1,6
tr_img_06322,1,ママハ音楽教室,"mommy, | the | music | class.",yamaha | music | class,0.7059,1,3,2
tr_img_06323,2,緑ヶ行,green.,green | hill,0.5556,0,1,2
tr_img_06324,6,食ペロヴ | 話題のお店 | したアア | のo,simperov | we're | talking | about | a | shop. | i | did. | o,flying. | flying. | money | box. | flying | bulls | mr. | president. | sehanor | we're | talking | about | a | shop. | food-best | log | sigma | snacks. | sma. | flying.,0.4609,5,4,15
tr_img_06325,4,中原区,central | district,middle-earth. | it's | march | 3rd.,0.2264,0,2,4
tr_img_06326,28,"無断離重禁正 | 月極 | 超低燃費蓄熱式 | 超低燃費 | 図間融 | 槽 | ロードヒーティンク | スノーin9 | 息動管黌冬春　設計・施工 | 025üの荷重に耐える | 08mタイプ・水温25C | 050年の耐用年数 | 灯油180で圧2代 | 時許出判 特月,00-09859 | 特許出願中1特願2002 | 一223883 | O次世代システム開発htp!wuJ-akCO.J] | 冒貸マンション建築から、オーナー代行管理 | 月極駐車場管理 | 正 | JハD日本ア一ク開発(株)","undeterred | contradiction | moon's | end | it's | a | super-low-fueling | heat | system. | very | low | fuel | cost. | melt | between | a | tank. | lord | heitinsk | snow | 9 | in | the | spring | of | the | spring, | design | and | labor | workers. | i'll | take | the | weight | of | 025ü. | 800 | meters | type, | water | temperature | 25c. | the | number | of | years | for | tolerance | in | 050. | it's | 180. | it's | pressure | two. | time | check, | 00-0959. | one | patent | application, | 2002. | one, | two, | two, | three, | four, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | eight, | [applause] | it's | from | a | rented | apartment | building. | it's | the | owner's | depreciation. | the | month's | maximum | parking | lot | management. | right | (jhad | japan's | largest | development | company)",moon's | end | empty | no | parking. | i'm | going | to | give | you | an | example. | it's | an | ess | car. | it's | just | for | you. | move | to | the | parking | lot. | that's | the | price. | that's | what | i'm | talking | about. | it's | 500 | yen | for | an | hour's | deposit. | i'm | coming. | if | he | doesn't | show | up. | i | can't | do | it. | but | i'm | not | responsible | for | all | the | accidents. | it's | not | nine. | parking | administrative | constitution | company. | it's | the | wysoreska | business | department. | very | low | fuel | cost. | the | moment | it | melts | the | number | of | years | that | you're | going | to | be | able | to | endure | with | your | steel | scoundrel | for | 60 | years. | the | next | generation | of | tsteem | development. | it's | a | very | low-fuel | fuel-heating | heat | system. | rooned | hee | tesog. | auto-administration | expenditures | it's | like | a | rent-a-do-do-do-do-you-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do. | the | month's | maximum | parking | lot | management. | (music) | design-worker. | winter | spring | fifty | years | of | tolerance. | i'm | going | to | ask | for | a | patent. | 2002-223883.,0.0222,34,139,108
tr_img_06327,8,スクラッチ | スクラッチ | ポイント,scrap. | scrap. | points,scrap. | scrap. | congratulations! | points,0.7164,3,0,1
tr_img_06328,2,北10条東10丁目,"10 | to | the | north, | 10 | to | the | east.",10 | to | the | north,0.6269,3,5,1
tr_img_06329,4,中原区 | 木月 | 1丁目,central | district | tree | moon | one.,middle-earth. | tree | moon | one.,0.6301,3,2,1
tr_img_06330,4,清水区 | 本郷町 | ちよう,guayry | maintown. | hey.,purchase | honshu | that's | right. | let's | go. | kili,0.3457,0,3,7
